;data;tipo_di_ricovero;totali_tipi_ricovero
650;30/07/2020;post-critica;2
651;31/07/2020;post-critica;1
652;01/08/2020;post-critica;1
653;02/08/2020;post-critica;1
654;03/08/2020;post-critica;1
655;04/08/2020;post-critica;0
656;05/08/2020;post-critica;0
657;06/08/2020;post-critica;0
658;07/08/2020;post-critica;1
659;08/08/2020;post-critica;1
660;09/08/2020;post-critica;2
661;10/08/2020;post-critica;2
662;11/08/2020;post-critica;2
663;12/08/2020;post-critica;2
664;13/08/2020;post-critica;4
665;14/08/2020;post-critica;4
666;15/08/2020;post-critica;4
667;16/08/2020;post-critica;4
668;17/08/2020;post-critica;4
669;18/08/2020;post-critica;5
670;19/08/2020;post-critica;6
671;20/08/2020;post-critica;7
672;21/08/2020;post-critica;7
673;22/08/2020;post-critica;7
674;23/08/2020;post-critica;5
675;24/08/2020;post-critica;5
676;25/08/2020;post-critica;5
677;26/08/2020;post-critica;5
678;27/08/2020;post-critica;5
679;28/08/2020;post-critica;5
680;29/08/2020;post-critica;4
681;30/08/2020;post-critica;4
682;31/08/2020;post-critica;2
683;01/09/2020;post-critica;2
684;02/09/2020;post-critica;2
685;03/09/2020;post-critica;2
686;04/09/2020;post-critica;2
687;05/09/2020;post-critica;2
688;06/09/2020;post-critica;3
689;07/09/2020;post-critica;3
690;08/09/2020;post-critica;3
691;09/09/2020;post-critica;2
692;10/09/2020;post-critica;2
693;11/09/2020;post-critica;9
694;12/09/2020;post-critica;11
695;13/09/2020;post-critica;11
696;14/09/2020;post-critica;11
697;15/09/2020;post-critica;11
698;16/09/2020;post-critica;14
699;17/09/2020;post-critica;17
700;18/09/2020;post-critica;17
701;19/09/2020;post-critica;17
702;20/09/2020;post-critica;17
703;21/09/2020;post-critica;17
704;22/09/2020;post-critica;17
705;23/09/2020;post-critica;17
706;24/09/2020;post-critica;17
707;25/09/2020;post-critica;18
708;26/09/2020;post-critica;17
709;27/09/2020;post-critica;18
710;28/09/2020;post-critica;18
711;29/09/2020;post-critica;12
712;30/09/2020;post-critica;12
713;01/10/2020;post-critica;12
714;02/10/2020;post-critica;12
715;03/10/2020;post-critica;12
716;04/10/2020;post-critica;12
717;05/10/2020;post-critica;8
718;06/10/2020;post-critica;8
719;07/10/2020;post-critica;10
720;08/10/2020;post-critica;10
721;09/10/2020;post-critica;10
722;10/10/2020;post-critica;10
723;11/10/2020;post-critica;12
724;12/10/2020;post-critica;12
725;13/10/2020;post-critica;17
726;14/10/2020;post-critica;17
727;15/10/2020;post-critica;26
728;16/10/2020;post-critica;31
729;17/10/2020;post-critica;32
730;18/10/2020;post-critica;35
731;19/10/2020;post-critica;38
732;20/10/2020;post-critica;38
733;21/10/2020;post-critica;30
734;22/10/2020;post-critica;44
735;23/10/2020;post-critica;46
736;24/10/2020;post-critica;46
737;25/10/2020;post-critica;46
738;26/10/2020;post-critica;54
739;27/10/2020;post-critica;55
740;28/10/2020;post-critica;64
741;25/02/2020;non intensiva;0
742;26/02/2020;non intensiva;0
743;27/02/2020;non intensiva;0
744;28/02/2020;non intensiva;0
745;29/02/2020;non intensiva;0
746;01/03/2020;non intensiva;0
747;02/03/2020;non intensiva;0
748;03/03/2020;non intensiva;0
749;04/03/2020;non intensiva;0
750;05/03/2020;non intensiva;57
751;06/03/2020;non intensiva;73
752;07/03/2020;non intensiva;91
753;08/03/2020;non intensiva;110
754;09/03/2020;non intensiva;136
755;10/03/2020;non intensiva;159
756;11/03/2020;non intensiva;212
757;12/03/2020;non intensiva;254
758;13/03/2020;non intensiva;337
759;14/03/2020;non intensiva;449
760;15/03/2020;non intensiva;511
761;16/03/2020;non intensiva;512
762;17/03/2020;non intensiva;426
763;18/03/2020;non intensiva;435
764;19/03/2020;non intensiva;439
765;20/03/2020;non intensiva;453
